Pool Name,TVL (USD),A Value,Initial A,Future A
Curve.fi ETH/stETH,264705648.4952765,200,3000,20000
pufETH/wstETH,212140942.12839746,500,50000,50000
Curve.fi DAI/USDC/USDT,181748591.657778,2000,5000,2000
FRAXsDAI,161468461.8755873,1500,150000,150000
Curve.fi Factory Pool: stETH-ng,105974468.25075966,1500,150000,150000
FRAXUSDe,82974757.7236012,250,25000,25000
Curve.fi Factory Plain Pool: frxETH/WETH,66682817.34453726,1000,100000,100000
Curve.fi Factory Plain Pool: stETH/frxETH,63886892.52708445,200,20000,20000
FRAXPYUSD,56982376.14744763,1500,150000,150000
PayPool,46844797.20846936,1000,15000,100000
Curve.fi Factory Pool: OETH,46294240.019464456,400,40000,40000
sDAI/sUSDe,34702039.2110564,800,80000,80000
USDe-USDC,33526322.905229103,200,20000,20000
USDe/DAI,30532471.48238442,400,40000,40000
Curve.fi Factory Plain Pool: tBTC/WBTC,29613112.58105308,300,30000,30000
Curve.fi Factory USD Metapool: alUSDFRAXBP,27261527.26563109,200,20000,20000
Curve.fi Factory Plain Pool: cvxCrv/Crv,23369885.377798725,50,5000,5000
osETH/rETH,20216788.56412056,100,10000,10000
pufETH/wstETH,17968123.627578486,500,50000,50000
Curve.fi ETH/frxETH,17207072.255428977,1200,12000,120000
ezETH/WETH,17009003.818666786,200,20000,20000
Curve.fi FRAX/USDC,16636689.309427207,1500,150000,150000
Curve.fi Factory USD Metapool: Magic Internet Money 3Pool,16341039.86169313,2000,30000,200000
Curve.fi Factory USD Metapool: Magic Internet Money 3Pool,16341039.86169313,2000,30000,200000
USDe-crvUSD,16054450.336173493,300,30000,30000
Curve.fi aDAI/aUSDC/aUSDT,15938061.747965667,2000,20000,200000
Curve.fi Factory USD Metapool: Liquity,12770966.400169771,500,10000,50000
Curve.fi Factory USD Metapool: Liquity,12770966.400169771,500,10000,50000
Curve.fi Factory Plain Pool: crvUSD/USDC,12479978.413705323,500,50000,50000
Curve.fi Factory Plain Pool: alETHfrxETH,11751359.058393132,100,10000,10000
FRAXFPI,11056887.73431576,750,75000,75000
GHOTHENA,10171472.801972106,104,10400,10400
Curve.fi renBTC/wBTC/sBTC,10059447.059813581,100,100,100
DOLA/FRAXPYUSD,9471108.2422207,200,20000,20000
Curve.fi Factory Plain Pool: crvUSD/USDT,9194549.905749489,500,50000,50000
Curve.fi Factory Plain Pool: pETH,8254709.17304677,100,2500,10000
Curve.fi Factory USD Metapool: Frax,7542337.0257171085,1500,50000,150000
Curve.fi Factory USD Metapool: Frax,7542337.0257171085,1500,50000,150000
Curve.fi renBTC/wBTC,7256005.369069537,1000,200,1000
sDAI/USDM Rebase Enjoyer Pool,7070884.15481395,1500,150000,150000
Curve.fi Factory Plain Pool: cvxFxs/Fxs,6631597.118505097,50,5000,5000
Curve.fi Factory USD Metapool: DOLA/FRAXBP,6092190.139855893,200,20000,20000
Curve.fi Factory Pool: ETHx-ETH,5826629.05744618,1000,100000,100000
GHO/fxUSD,5554705.040211339,200,20000,20000
uniETH/ETH,5483382.618493725,100,10000,10000
xETH/pxETH,5448763.397320686,400,40000,40000
Curve.fi Factory Plain Pool: msETH/WETH,4731743.486652324,200,20000,20000
pxETH/wETH,4600046.6127814185,400,40000,40000
Curve.fi ETH/sETH,4588474.045003227,256,10000,25600
pxETH/stETH,4516703.217019098,400,40000,40000
Dola/fxUSD,4407560.647224473,200,20000,20000
vETH/ETH,4375172.516101571,100,10000,10000
Curve.fi Factory USD Metapool: eUSD+FRAX/USDC (FRAXBP),4355158.524287433,200,20000,20000
FDUSD/USDe,4259563.622947463,1000,100000,100000
alETH/wETH,4013112.2638079817,200,20000,20000
pUSD-3CRV-A1000,3924658.3633951107,1000,100000,100000
Curve.fi tBTC/sbtcCrv,3891925.847034794,150,15000,15000
